question,__expected
"Simple interest on a certain sum of money for 3 years at 8% per annum is half the compound interest on Rs. 16000 for 2 years at 10% per annum. The sum placed on simple interest is :

(1) Rs. 14000
(2) Rs. 3500
(3) Rs. 7000
(4) Rs. 5600","{ ""subjectTags"": { ""Level1"": ""Numerical Aptitude"", ""Level2"": ""Simple Interest"", ""Level3"": [""Compound Interest""] }, ""skillTags"": [ ""Implementing"", ""Knowledge of subject-specific techniques and methods"" ] }"
"Ticket for an adult is Rs. 1600 and a child is Rs. 1200. 1 child goes free with two adults. If a group has 23 adults and 10 children, what is the discount the group gets?

(1) 25.25 per cent
(2) 24.52 per cent
(3) 25.77 per cent
(4) 31.60 per cent","{ ""subjectTags"": { ""Level1"": ""Numerical Aptitude"", ""Level2"": ""Discounts"", ""Level3"": [""Types of Discounts""] }, ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""] }"
"A quadrilateral is inscribed in a circle. If the opposite angles of the quadrilateral are equal and length of its adjacent sides are 6 cm. and 8 cm., what is the area of the circle?

(1) 64S sq. cm
(2) 25S sq. cm
(3) 36S sq. cm
(4) 42S sq. cm","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Mensuration"",
    ""Level3"": [""Planes"", ""2D Figures"", ""Circle""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""]
}"
"Which of the following numbers is completely divisible by 22?

(1) 51572 (2) 51557
(3) 55036 (4) 42284","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Number System"",
    ""Level3"": [""Numbers"", ""Tests Of Divisibility""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""]
}"
"Chord AB of a circle when extended meets the tangent to the circle at point P. PT is the tangent touching the circle at point T. If lengths of PT and PB are 6 cm. and 4 cm. respectively, what is the length of PA?

(1) 12 cm. (2) 18 cm.
(3) 27 cm. (4) 2 cm.","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Geometry"",
    ""Level3"": [""Circles"", ""Chord of Circle"", ""Tangent of Circle""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""]
}"
"How many zeros are there at the end in product 213 × 510?

(1) 13 (2) 10
(3) 23 (4) 33","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Number System"",
    ""Level3"": [""Numbers"", ""Number of zeros""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""]
}"
"A man travels some distance at a speed of 15 km/hr and he returns at a speed of 6 km/hr. If the total time taken by the man is 14 hours, then what is the distance (in km)?

(1) 48 (2) 60
(3) 45 (4) 56","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Time, Speed and Distance"",
    ""Level3"": [""Concept of Motion"", ""Distance Formula""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""]
}
"
"S can do a piece of work in 80 days and T in 60 days. With the help of U, they finish the work in 20 days. In how many days U alone can do the same work?

(1)40 (2) 60
(3)48 (4) 80","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Time And Work"",
    ""Level3"": [""Concept of Efficiency""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject specific techniques and methods""]
}"
"A bank offers 5% compound interest per half year. A customer deposits Rs. 8000 each on 1st January and 1st July of a year. At the end of the year, the amount he would have gained by way of interest is

(1) Rs. 2440 (2) Rs. 610
(3) Rs. 1220 (4) Rs. 305","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Compound Interest"",
    ""Level3"": [""Conditions for Compound Interest"", ""Interest is compounded Half-yearly""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject-specific techniques and methods""]
}"
"The mean of marks secured by 55 students in division-A of class X is 55 that of 45 students of division-B is 51 and that of 40 students of division-C is 42. What is the mean of marks of the students of three divisions of class X?

(1) 51.3 (2) 50.6
(3) 52 (4) 53.4","{
  ""subjectTags"": {
    ""Level1"": ""Numerical Aptitude"",
    ""Level2"": ""Average"",
    ""Level3"": [""Average type"", ""Alligation method"", ""Mean Price""]
  },
  ""skillTags"": [""Implementing"", ""Knowledge of subject-specific techniques and methods""]
}"
